name,source,spp,sampler,aggregator
unit_disk_1mc,../functions/unit_disk.func,10,rnd,mc
unit_disk_2mc,../functions/unit_disk.func,20,rnd,mc
unit_disk_3mc,../functions/unit_disk.func,40,rnd,mc

unit_disk_1vor,../functions/unit_disk.func,10,sppp,vor
unit_disk_2vor,../functions/unit_disk.func,20,sppp,vor
unit_disk_3vor,../functions/unit_disk.func,40,sppp,vor

f1_1mc,../functions/f1.func,10,rnd,mc
f1_2mc,../functions/f1.func,20,rnd,mc
f1_3mc,../functions/f1.func,40,rnd,mc

f1_1vor,../functions/f1.func,10,sppp,vor
f1_2vor,../functions/f1.func,20,sppp,vor
f1_3vor,../functions/f1.func,40,sppp,vor

f2_1mc,../functions/f2.func,10,rnd,mc
f2_2mc,../functions/f2.func,20,rnd,mc
f2_3mc,../functions/f2.func,40,rnd,mc

f2_1vor,../functions/f2.func,10,sppp,vor
f2_2vor,../functions/f2.func,20,sppp,vor
f2_3vor,../functions/f2.func,40,sppp,vor

disturbed_disk_1mc,../functions/disturbed_disk.func,10,rnd,mc
disturbed_disk_2mc,../functions/disturbed_disk.func,20,rnd,mc
disturbed_disk_3mc,../functions/disturbed_disk.func,40,rnd,mc

disturbed_disk_1vor,../functions/disturbed_disk.func,10,sppp,vor
disturbed_disk_2vor,../functions/disturbed_disk.func,20,sppp,vor
disturbed_disk_3vor,../functions/disturbed_disk.func,40,sppp,vor

diamond_1mc,../functions/diamond.func,10,rnd,mc
diamond_2mc,../functions/diamond.func,20,rnd,mc
diamond_3mc,../functions/diamond.func,40,rnd,mc

diamond_1vor,../functions/diamond.func,10,sppp,vor
diamond_2vor,../functions/diamond.func,20,sppp,vor
diamond_3vor,../functions/diamond.func,40,sppp,vor

periodical1_1mc,../functions/periodical1.func,10,rnd,mc
periodical1_2mc,../functions/periodical1.func,20,rnd,mc
periodical1_3mc,../functions/periodical1.func,40,rnd,mc

periodical1_1vor,../functions/periodical1.func,10,sppp,vor
periodical1_2vor,../functions/periodical1.func,20,sppp,vor
periodical1_3vor,../functions/periodical1.func,40,sppp,vor

periodical2_1mc,../functions/periodical2.func,10,rnd,mc
periodical2_2mc,../functions/periodical2.func,20,rnd,mc
periodical2_3mc,../functions/periodical2.func,40,rnd,mc

periodical2_1vor,../functions/periodical2.func,10,sppp,vor
periodical2_2vor,../functions/periodical2.func,20,sppp,vor
periodical2_3vor,../functions/periodical2.func,40,sppp,vor

periodical3_1mc,../functions/periodical3.func,10,rnd,mc
periodical3_2mc,../functions/periodical3.func,20,rnd,mc
periodical3_3mc,../functions/periodical3.func,40,rnd,mc

periodical3_1vor,../functions/periodical3.func,10,sppp,vor
periodical3_2vor,../functions/periodical3.func,20,sppp,vor
periodical3_3vor,../functions/periodical3.func,40,sppp,vor

periodical4_1mc,../functions/periodical4.func,10,rnd,mc
periodical4_2mc,../functions/periodical4.func,20,rnd,mc
periodical4_3mc,../functions/periodical4.func,40,rnd,mc

periodical4_1vor,../functions/periodical4.func,10,sppp,vor
periodical4_2vor,../functions/periodical4.func,20,sppp,vor
periodical4_3vor,../functions/periodical4.func,40,sppp,vor

ellipse_1mc,../functions/ellipse.func,10,rnd,mc
ellipse_2mc,../functions/ellipse.func,20,rnd,mc
ellipse_3mc,../functions/ellipse.func,40,rnd,mc

ellipse_1vor,../functions/ellipse.func,10,sppp,vor
ellipse_2vor,../functions/ellipse.func,20,sppp,vor
ellipse_3vor,../functions/ellipse.func,40,sppp,vor

gaussian_1mc,../functions/gaussian.func,10,rnd,mc
gaussian_2mc,../functions/gaussian.func,20,rnd,mc
gaussian_3mc,../functions/gaussian.func,40,rnd,mc

gaussian_1vor,../functions/gaussian.func,10,sppp,vor
gaussian_2vor,../functions/gaussian.func,20,sppp,vor
gaussian_3vor,../functions/gaussian.func,40,sppp,vor

fractal1_1mc,../functions/fractal1.func,10,rnd,mc
fractal1_2mc,../functions/fractal1.func,20,rnd,mc
fractal1_3mc,../functions/fractal1.func,40,rnd,mc

fractal1_1vor,../functions/fractal1.func,10,sppp,vor
fractal1_2vor,../functions/fractal1.func,20,sppp,vor
fractal1_3vor,../functions/fractal1.func,40,sppp,vor

fractal2_1mc,../functions/fractal2.func,10,rnd,mc
fractal2_2mc,../functions/fractal2.func,20,rnd,mc
fractal2_3mc,../functions/fractal2.func,40,rnd,mc

fractal2_1vor,../functions/fractal2.func,10,sppp,vor
fractal2_2vor,../functions/fractal2.func,20,sppp,vor
fractal2_3vor,../functions/fractal2.func,40,sppp,vor

hard1_1mc,../functions/hard1.func,10,rnd,mc
hard1_2mc,../functions/hard1.func,20,rnd,mc
hard1_3mc,../functions/hard1.func,40,rnd,mc

hard1_1vor,../functions/hard1.func,10,sppp,vor
hard1_2vor,../functions/hard1.func,20,sppp,vor
hard1_3vor,../functions/hard1.func,40,sppp,vor

hard2_1mc,../functions/hard1.func,10,rnd,mc
hard2_2mc,../functions/hard2.func,20,rnd,mc
hard2_3mc,../functions/hard2.func,40,rnd,mc

hard2_1vor,../functions/hard2.func,10,sppp,vor
hard2_2vor,../functions/hard2.func,20,sppp,vor
hard2_3vor,../functions/hard2.func,40,sppp,vor
